model,seed,num_trees,p,alpha_rho,beta_rho,alpha_sigma,beta_sigma,n,est,bias,rpehe,coverage,width,waic,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17,W18,W19,W20
CL-BART,63,25,20,0.3,3,1,1,4469,-0.32214660358897584,0.004061110726951966,0.29069894094273396,0.6972477064220184,0.4811546870297718,12073.180661477101,0.12053375537176014,0.11725573801805798,0.19775829002314396,0.13518449432398316,0.16766303657076137,0.009988185011433429,0.00896684227888293,0.011395008003841628,0.03995167461475174,0.006643600632614969,0.05591649864788746,0.014236530230599082,0.007057707196235261,0.015147569280477478,0.015741586347101894,0.010609746879180855,0.008135829576016681,0.026420201918164295,0.0236413904730199,0.007752314602085769
CL-BART-avg,63,25,20,0.3,3,1,1,4469,-0.32214660358897584,0.004061110726951976,0.644077662969877,0.045871559633027525,0.07040676814039576,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
clogit,63,50,20,0.3,3,1,1,4469,-0.06841900763463644,0.2577887066812914,0.716463479451711,0.33922577757887673,0.3276371829284948,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CL-BART,63,50,20,0.3,3,1,1,4469,-0.3195014360347483,0.00670627828117951,0.28007860932069456,0.8740210337883195,0.7179251831848739,12113.57417238993,0.07396988277549073,0.0746518760272096,0.11246370696034368,0.13217436280956818,0.10051049924869797,0.022914988608027636,0.057808959901554526,0.04087699417816934,0.046016372407490645,0.03868475169949168,0.026120922460417355,0.036580867849500154,0.01497755827340822,0.035400443220596774,0.035051121023446694,0.03430231755915766,0.02000786062284764,0.039642883288692234,0.027322577967827808,0.030521053118061456
CL-BART-avg,63,50,20,0.3,3,1,1,4469,-0.3195014360347483,0.006706278281179525,0.6440997729271347,0.05034683374356679,0.07712783185073491,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
clogit,64,5,20,0.3,3,1,1,4553,-0.07970975972363503,0.28521203689120694,0.7814900563700519,0.3085877443443883,0.3266384488579164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CL-BART,64,5,20,0.3,3,1,1,4553,-0.3193947656594688,0.04552703095537323,0.3404889726973967,0.4465187788271469,0.3034785646434407,12133.236647791253,0.18140656565656565,0.1914318181818182,0.2871540404040404,0.23333838383838384,0.09772979797979799,4.292929292929293e-4,0.0017424242424242424,6.060606060606061e-4,3.0303030303030303e-4,7.44949494949495e-4,4.292929292929293e-4,5.808080808080808e-4,1.5151515151515152e-4,2.904040404040404e-4,0,9.090909090909091e-4,0.0011237373737373736,3.0303030303030303e-4,4.4191919191919195e-4,8.838383838383839e-4
CL-BART-avg,64,5,20,0.3,3,1,1,4553,-0.3193947656594688,0.045527030955373214,0.6989360692301111,0.05315176806501208,0.07483202110042281,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
clogit,64,10,20,0.3,3,1,1,4553,-0.07970975972363503,0.28521203689120694,0.7814900563700519,0.3085877443443883,0.3266384488579164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CL-BART,64,10,20,0.3,3,1,1,4553,-0.3163916408944907,0.04853015572035131,0.34681475968812514,0.6584669448715132,0.4183405560975768,12126.493303932828,0.14067043976834998,0.14799542321426995,0.279619200559216,0.19084554255800384,0.15492379500158138,0.002770711107204915,0.001680536103330221,8.023895680629426e-4,0.002894317713590159,0.0015961421118154864,0.0025342498560377816,0.0016720791105466028,0.0018060810019014354,0.002896120627738275,0.05323639375903308,0.004995953937130408,0.0022762263249879347,0.004302276319884679,0.0010659614723082214,0.0014161598850066341
CL-BART-avg,64,10,20,0.3,3,1,1,4553,-0.3163916408944907,0.04853015572035132,0.6991381081999956,0.05161432022842082,0.07139226097532436,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
clogit,64,25,20,0.3,3,1,1,4553,-0.07970975972363503,0.28521203689120694,0.7814900563700519,0.3085877443443883,0.3266384488579164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CL-BART,64,25,20,0.3,3,1,1,4553,-0.32207341807671713,0.04284837853812485,0.31890322018193745,0.6839446518778827,0.48730124277702236,12105.39873988017,0.06968523211322382,0.11376824421291422,0.2426878127204166,0.11556950160549374,0.1306294009419648,0.009309900109650118,0.00550941965509202,0.021509527377981116,0.006545726572053172,0.032958848029174495,0.007609679203951649,0.03583823133886399,0.009901008619585032,0.007238691526369069,0.012377622197224993,0.04073893330568304,0.005215453852473752,0.029099063955115842,0.04417695556957795,0.0596307470931906
CL-BART-avg,64,25,20,0.3,3,1,1,4553,-0.32207341807671713,0.04284837853812487,0.6987667005994014,0.048319789150010985,0.06823101200333759,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
clogit,64,50,20,0.3,3,1,1,4553,-0.07970975972363503,0.28521203689120694,0.7814900563700519,0.3085877443443883,0.3266384488579164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CL-BART,64,50,20,0.3,3,1,1,4553,-0.3201546066200069,0.04476718999483509,0.3016384639442457,0.8794201625301998,0.7267884636066223,12140.939999993938,0.07891800077371004,0.07225132124874505,0.08974682945960652,0.09109634634489908,0.10548654984505688,0.024648219171046228,0.04702529777879423,0.02018237339479133,0.01928194496788728,0.022681003334422623,0.03204524865234137,0.017027633878941247,0.026250306070591013,0.02341099486681849,0.05218875321716685,0.05677502630626401,0.025299770136701056,0.1282944244051663,0.03296518518965738,0.034424770957393
