model,seed,num_trees,p,alpha_rho,beta_rho,alpha_sigma,beta_sigma,n,est,bias,rpehe,coverage,width,waic,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17,W18,W19,W20
CL-BART,38,50,20,0.3,3,1,1,4274,-0.2639533901229008,0.013014582193249098,0.26583164032882056,0.8067384183434722,0.604006478533837,11835.541178105668,0.10160920029894013,0.08662715808497627,0.14483794995184587,0.09328178729728957,0.11819572701679584,0.028532977796800578,0.05961178616392714,0.009910423464678709,0.029440506672088758,0.011667614929094556,0.008290184780904378,0.07498658029186425,0.051093587441283735,0.009962251519482589,0.02848275366812883,0.014790981525649385,0.013543052609211343,0.025914380087488656,0.01599248157235241,0.07322861482719698
CL-BART-avg,38,50,20,0.3,3,1,1,4274,-0.2639533901229008,0.013014582193249098,0.5599568758698942,0.057557323350491345,0.06446296035678942,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
clogit,39,5,20,0.3,3,1,1,4412,-0.0654354497158126,0.2107889903505272,0.6103518622444604,0.38961922030825025,0.35845254563344103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CL-BART,39,5,20,0.3,3,1,1,4412,-0.2558690242581743,0.0203554158081655,0.2788736913367621,0.4893472348141433,0.31147152504179765,12269.429133655103,0.11869299219299219,0.14856362156362157,0.19787510637510639,0.24813356088356087,0.1949003589003589,0.001416083916083916,9.416971916971917e-4,0.0808515651015651,4.1860916860916864e-4,0.0011742424242424242,3.0303030303030303e-4,4.292929292929293e-4,5.411255411255411e-4,0,0.003628205128205128,3.968253968253968e-4,5.934343434343435e-4,1.388888888888889e-4,2.797202797202797e-4,7.216394716394717e-4
CL-BART-avg,39,5,20,0.3,3,1,1,4412,-0.2558690242581743,0.02035541580816549,0.5525450068268254,0.06958295557570263,0.08820024209280669,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
clogit,39,10,20,0.3,3,1,1,4412,-0.0654354497158126,0.2107889903505272,0.6103518622444604,0.38961922030825025,0.35845254563344103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CL-BART,39,10,20,0.3,3,1,1,4412,-0.25668297623584135,0.019541463830498436,0.2652378937870938,0.5267452402538532,0.332401835636112,12243.723163435532,0.15339701964701966,0.12023527398527399,0.28587423687423685,0.1877969252969253,0.19099288674288675,7.878787878787879e-4,0.015847902097902097,0.004850205350205351,0.0014852092352092353,0.0034104506604506605,0.001512043512043512,0.0012272727272727272,7.216394716394717e-4,0.018246309246309246,5.934343434343435e-4,0.0022766122766122764,0.007163558663558664,0.0013406870906870908,0.0012861305361305361,9.543234543234543e-4
CL-BART-avg,39,10,20,0.3,3,1,1,4412,-0.25668297623584135,0.019541463830498446,0.5525156200734708,0.05371713508612874,0.07075378247535044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
clogit,39,25,20,0.3,3,1,1,4412,-0.0654354497158126,0.2107889903505272,0.6103518622444604,0.38961922030825025,0.35845254563344103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CL-BART,39,25,20,0.3,3,1,1,4412,-0.25650512704337225,0.019719313022967554,0.2495648201772489,0.600181323662738,0.35421301018452794,12198.97780038836,0.11668586421125625,0.08736187355616619,0.17506550962199435,0.1397569031586985,0.1358009519846426,0.0028557951501567732,0.017629820984978138,0.011143722653173791,0.00399520093812899,0.021666893331425907,0.05988644247653704,0.1262058428367622,0.005685861352332277,0.05925552525203218,0.011337289316440279,0.006465338499313462,0.006198710050163812,0.0039347145473542025,0.004167121342286237,0.00490061873615683
CL-BART-avg,39,25,20,0.3,3,1,1,4412,-0.25650512704337225,0.01971931302296755,0.5525219388609207,0.056890299184043515,0.07303917548381783,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
clogit,39,50,20,0.3,3,1,1,4412,-0.0654354497158126,0.2107889903505272,0.6103518622444604,0.38961922030825025,0.35845254563344103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CL-BART,39,50,20,0.3,3,1,1,4412,-0.2572141635617736,0.0190102765045662,0.2604672232967856,0.8009972801450589,0.5654515951269325,12226.748565895066,0.07238555343454792,0.09138833211084413,0.11760112667554573,0.07169062072467994,0.11863754339665926,0.11617505030718915,0.029209414323050745,0.0322434422480664,0.04001877317144669,0.018345523443859025,0.0231859342747258,0.05585985895150472,0.02627637753078124,0.011896381104693043,0.046177728207855095,0.05015256796927122,0.028227914261488445,0.01164500113413685,0.02270318753187943,0.016179669197775158
CL-BART-avg,39,50,20,0.3,3,1,1,4412,-0.2572141635617736,0.019010276504566177,0.5524970879826547,0.052357207615593836,0.06786526363060702,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
clogit,40,5,20,0.3,3,1,1,4644,-0.04872788848396601,0.31840108331174355,0.7983836690239451,0.35981912144702843,0.3276535107424142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CL-BART,40,5,20,0.3,3,1,1,4644,-0.2911462020523835,0.07598276974332607,0.3515656975976546,0.5467269595176572,0.3529305806607529,12669.524507189159,0.11006982831982833,0.20881811706811707,0.2213011618011618,0.25716823916823917,0.19202196877196878,6.515151515151515e-4,2.380952380952381e-4,4.696969696969697e-4,1.5151515151515152e-4,1.666666666666667e-4,2.904040404040404e-4,4.3722943722943725e-4,4.292929292929293e-4,9.531024531024531e-4,0.004719169719169719,2.5e-4,3.0303030303030303e-4,5.95959595959596e-4,2.904040404040404e-4,6.746031746031745e-4
CL-BART-avg,40,5,20,0.3,3,1,1,4644,-0.2911462020523835,0.07598276974332603,0.7209830270898642,0.05749354005167959,0.08901497158337424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
clogit,40,10,20,0.3,3,1,1,4644,-0.04872788848396601,0.31840108331174355,0.7983836690239451,0.35981912144702843,0.3276535107424142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CL-BART,40,10,20,0.3,3,1,1,4644,-0.28827039812009986,0.0788585736756097,0.34505084940820857,0.42463393626184326,0.246280305858628,12567.817195316777,0.1587412330316742,0.15830065509109625,0.3160395448777802,0.16127404444683857,0.16437050354329766,0.0039724541526012114,8.379884004884005e-4,8.471459096459097e-4,0.001459478021978022,0.007176590294237353,0.005607219169719169,0.0014595034595034596,0.002413308913308913,0.0010909645909645909,0.003365460927960928,2.564102564102564e-4,0.001696988196988197,5.964590964590965e-4,0.0011105006105006105,0.00938354700854701
CL-BART-avg,40,10,20,0.3,3,1,1,4644,-0.28827039812009986,0.07885857367560971,0.7212917708500133,0.043281653746770024,0.06449309225810729,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
clogit,40,25,20,0.3,3,1,1,4644,-0.04872788848396601,0.31840108331174355,0.7983836690239451,0.35981912144702843,0.3276535107424142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CL-BART,40,25,20,0.3,3,1,1,4644,-0.2850306742260988,0.08209829756961076,0.3523640927767321,0.6040051679586563,0.3910202551017496,12571.854804262864,0.11388234151162316,0.12847370130422134,0.2296386827195802,0.20381131461498772,0.12518912504037577,0.03930513436833545,0.0094252107375565,0.023656598336652852,0.01790323119611494,0.0037936928204931972,0.013262967958349796,0.007626421947970384,0.010081631152748844,0.01710212487292848,0.00618348784164955,0.005282414169186166,0.016028640076344455,0.010872995626672658,0.0056408162041232885,0.012839467500085237
CL-BART-avg,40,25,20,0.3,3,1,1,4644,-0.2850306742260988,0.08209829756961076,0.7216531538887812,0.043281653746770024,0.06618236985774345,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
clogit,40,50,20,0.3,3,1,1,4644,-0.04872788848396601,0.31840108331174355,0.7983836690239451,0.35981912144702843,0.3276535107424142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CL-BART,40,50,20,0.3,3,1,1,4644,-0.289157818220888,0.07797115357482155,0.350589699495989,0.789405684754522,0.574542359093955,12567.542594073067,0.07337950982239977,0.07312819516943136,0.11893730295775576,0.11852714147568175,0.10703939347679697,0.06386569985434211,0.04369127813500497,0.015659638093049925,0.04458569731424821,0.027594455103145597,0.033557510259806383,0.04433226117591188,0.02344165619130737,0.061233016003751584,0.030258865227615006,0.015139293085737133,0.01360078675737442,0.02096939388712669,0.048990284735966144,0.02206862127354695
